wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4970.94482422
1000.0        4970.94482422
1500.0        4970.94482422
2000.0        4970.94482422
2500.0        4970.94482422
3000.0        4970.94482422
3500.0        4970.94482422
4000.0        4970.94482422
4500.0        4970.94482422
5000.0        4970.94482422
5500.0        4970.94482422
6000.0        4970.94482422
6500.0        4970.94482422
7000.0        5560.18291829
7500.0        6071.19270501
8000.0        6508.36945129
8500.0        7267.62356414
9000.0        8069.85116652
9500.0        8915.25430587
10000.0        9614.35487176
10500.0        10662.6687582
11000.0        11414.6430307
11500.0        11709.634693
12000.0        11871.0994423
12500.0        11928.4298959
13000.0        11928.4298959
13500.0        12052.4719182
14000.0        12177.9269365
14500.0        12177.9269365
15000.0        12177.9269365
15500.0        12177.9269365
16000.0        12177.9269365
16500.0        12177.9269365
17000.0        12177.9269365
17500.0        12177.9269365
18000.0        12177.9269365
18500.0        12177.9269365
19000.0        12177.9269365
19500.0        12177.9269365
20000.0        12177.9269365
