wsi_di_SWP
wsi                   di
0.0        0.0
500.0        1596.08349609
1000.0        1596.08349609
1500.0        1596.08349609
2000.0        1596.08349609
2500.0        1596.08349609
3000.0        1655.06232592
3500.0        2280.24010769
4000.0        2908.35899341
4500.0        3836.02048166
5000.0        5168.54987616
5500.0        6048.19804081
6000.0        7373.08731503
6500.0        7951.88092764
7000.0        8213.69960126
7500.0        8279.5511061
8000.0        8279.5511061
8500.0        8279.5511061
9000.0        8279.5511061
9500.0        8279.5511061
10000.0        8279.5511061
10500.0        8279.5511061
11000.0        8279.5511061
11500.0        8279.5511061
12000.0        8279.5511061
12500.0        8279.5511061
13000.0        8279.5511061
13500.0        8279.5511061
14000.0        8279.5511061
14500.0        8279.5511061
15000.0        8279.5511061
15500.0        8279.5511061
16000.0        8279.5511061
16500.0        8279.5511061
17000.0        8279.5511061
17500.0        8279.5511061
18000.0        8279.5511061
18500.0        8279.5511061
19000.0        8279.5511061
19500.0        8279.5511061
20000.0        8279.5511061
