! This table is used to look up year-type indices (Dustin Jones 11/22/99)
! Updated 06/09/2005 by Messele Ejeta. SACindex and SJRindex updated using values from CDEC.
! AmerD893 updated using the sum of unimpaired inflow to Folsom from April to September
! SHASTAindex updated based on Full Natural Inflow to Shasta. If total inflow to Shasta in any 
! given year is less than 3.2 maf, it is Shasta critical year (value of 4). Also, if the total
! inflow in any two consecutive years is such that the total inflow of each year is less than
! 4.0 maf and the total consecutive two year deficiency is higher than 0.8 maf below the two
! year total of 8.0 mark, the second year becomes Shasta critical year. 
! FEATHERindex was updated in a similar fashion as Shasta Index. 
wytypes
WATERYEAR	SACindex	SHASTAindex	AmerD893	Trinityindex
1920	2	1	1	3
1921	2	1	1	3
1922	2	1	1	4
1923	3	3	1	4
1924	5	4	2	5
1925	4	1	1	2
1926	4	3	1	4
1927	1	1	1	2
1928	2	1	1	3
1929	5	3	1	5
1930	4	2	1	4
1931	5	4	2	5
1932	4	4	1	4
1933	5	4	1	4
1934	5	4	2	5
1935	3	1	1	4
1936	3	1	1	3
1937	3	2	1	4
1938	1	1	1	1
1939	4	3	2	5
1940	2	1	1	2
1941	1	1	1	1
1942	1	1	1	2
1943	1	1	1	3
1944	4	3	1	5
1945	3	1	1	3
1946	3	1	1	2
1947	4	3	1	4
1948	3	1	1	3
1949	4	2	1	3
1950	3	2	1	4
1951	2	1	1	2
1952	1	1	1	2
1953	1	1	1	2
1954	2	1	1	2
1955	4	2	1	4
1956	1	1	1	1
1957	2	1	1	3
1958	1	1	1	1
1959	3	1	1	3
1960	4	1	1	3
1961	4	1	1	3
1962	3	1	1	3
1963	1	1	1	2
1964	4	3	1	4
1965	1	1	1	2
1966	3	1	1	3
1967	1	1	1	2
1968	3	1	1	3
1969	1	1	1	1
1970	1	1	1	2
1971	1	1	1	2
1972	3	1	1	3
1973	2	1	1	2
1974	1	1	1	1
1975	1	1	1	2
1976	5	3	2	4
1977	5	4	2	5
1978	2	1	1	1
1979	3	2	1	4
1980	2	1	1	2
1981	4	2	2	4
1982	1	1	1	1
1983	1	1	1	1
1984	1	1	1	2
1985	4	3	1	4
1986	1	1	1	2
1987	4	3	2	4
1988	5	3	2	4
1989	4	1	1	3
1990	5	3	2	4
1991	5	4	1	5
1992	5	4	2	4
1993	2	1	1	2
1994	5	4	2	5
1995	1	1	1	1
1996	1	1	1	2
1997	1	1	1	2
1998	1	1	1	1
1999	1	1	1	2
2000	2	1	1	2
2001	4	1	2	4
2002	4	1	1	3
2003	2	1	1	2








