! This table is used to set up initial conditions 1 year before Oct 1921
! Z.Q. Richard Chen, DWR, 7/1/2011
initial_svdv
WATERYEAR  MONTH    C639   C639_VOFF   VERNWQFINAL    VERNWQFINAL_VOFF  UARM
1920          1      999      999          500          500             300
1920          2      999      999          500          500             300             
1920          3      999      999          500          500             300                
1920          4      999      999          500          500             300             
1920          5      999      999          500          500             300              
1920          6      999      999          500          500             300               
1920          7      999      999          500          500             300              
1920          8      999      999          500          500             300               
1920          9      999      999          500          500             300                  
1920         10      999      999          500          500             300               
1920         11      999      999          500          500             300                 
1920         12      999      999          500          500             300                 
